Run,LibraryLayout,condition,name,Input
SRR4437321,SINGLE,H3K4me3_P14-CD8-TN,H3K4me3-TN_1,Input_TN
SRR4437322,SINGLE,H3K4me3_P14-CD8-TN,H3K4me3-TN_2,Input_TN
SRR4437323,SINGLE,H3K4me3_P14-CD8-TE,H3K4me3-TE_1,Input_TE
SRR4437324,SINGLE,H3K4me3_P14-CD8-TE,H3K4me3-TE_2,Input_TE
SRR4437325,SINGLE,H3K4me3_P14-CD8-MP,H3K4me3-MP_1,Input_MP
SRR4437326,SINGLE,H3K4me3_P14-CD8-MP,H3K4me3-MP_2,Input_MP
SRR4437327,SINGLE,H3K4me3_P14-CD8-Memory,H3K4me3-MEM_1,Input_MEM
SRR4437328,SINGLE,H3K4me3_P14-CD8-Memory,H3K4me3-MEM_2,Input_MEM
SRR4437329,SINGLE,H3K4me1_P14-CD8-TN,H3K4me1-TN_1,Input_TN
SRR4437330,SINGLE,H3K4me1_P14-CD8-TN,H3K4me1-TN_2,Input_TN
SRR4437331,SINGLE,H3K4me1_P14-CD8-TE,H3K4me1-TE_1,Input_TE
SRR4437332,SINGLE,H3K4me1_P14-CD8-TE,H3K4me1-TE_2,Input_TE
SRR4437333,SINGLE,H3K4me1_P14-CD8-MP,H3K4me1-MP_1,Input_MP
SRR4437334,SINGLE,H3K4me1_P14-CD8-MP,H3K4me1-MP_2,Input_MP
SRR4437335,SINGLE,H3K4me1_P14-CD8-Memory,H3K4me1-MEM_1,Input_MEM
SRR4437336,SINGLE,H3K4me1_P14-CD8-Memory,H3K4me1-MEM_2,Input_MEM
SRR4437337,SINGLE,H3K27me3_P14-CD8-TN,H3K27me3-TN_1,Input_TN
SRR4437338,SINGLE,H3K27me3_P14-CD8-TN,H3K27me3-TN_2,Input_TN
SRR4437339,SINGLE,H3K27me3_P14-CD8-TE,H3K27me3-TE_1,Input_TE
SRR4437340,SINGLE,H3K27me3_P14-CD8-TE,H3K27me3-TE_2,Input_TE
SRR4437341,SINGLE,H3K27me3_P14-CD8-MP,H3K27me3-MP_1,Input_MP
SRR4437342,SINGLE,H3K27me3_P14-CD8-MP,H3K27me3-MP_2,Input_MP
SRR4437343,SINGLE,H3K27me3_P14-CD8-Memory,H3K27me3-MEM_1,Input_MEM
SRR4437344,SINGLE,H3K27me3_P14-CD8-Memory,H3K27me3-MEM_2,Input_MEM
SRR4437345,SINGLE,H3K27ac_P14-CD8-TN,H3K27ac-TN_1,Input_TN
SRR4437346,SINGLE,H3K27ac_P14-CD8-TN,H3K27ac-TN_2,Input_TN
SRR4437347,SINGLE,H3K27ac_P14-CD8-TE,H3K27ac-TE_1,Input_TE
SRR4437348,SINGLE,H3K27ac_P14-CD8-TE,H3K27ac-TE_2,Input_TE
SRR4437349,SINGLE,H3K27ac_P14-CD8-MP,H3K27ac-MP_1,Input_MP
SRR4437350,SINGLE,H3K27ac_P14-CD8-MP,H3K27ac-MP_2,Input_MP
SRR4437351,SINGLE,H3K27ac_P14-CD8-Memory,H3K27ac-MEM_1,Input_MEM
SRR4437352,SINGLE,H3K27ac_P14-CD8-Memory,H3K27ac-MEM_2,Input_MEM
SRR4437353,SINGLE,Input_P14-CD8-TN,Input_TN_1,
SRR4437354,SINGLE,Input_P14-CD8-TN,Input_TN_2,
SRR4437355,SINGLE,Input_P14-CD8-TE,Input_TE_1,
SRR4437356,SINGLE,Input_P14-CD8-TE,Input_TE_2,
SRR4437357,SINGLE,Input_P14-CD8-MP,Input_MP_1,
SRR4437358,SINGLE,Input_P14-CD8-MP,Input_MP_2,
SRR4437359,SINGLE,Input_P14-CD8-Memory,Input_MEM_1,
SRR4437360,SINGLE,Input_P14-CD8-Memory,Input_MEM_2,
