Run,LibraryLayout,condition,name,Input
SRR5905836,SINGLE,Input_CD4,Input_CD4_1,
SRR5905837,SINGLE,STAT5B_noIL2-CD4,STAT5B-noIL2-CD4_1,Input_CD4
SRR5905838,SINGLE,STAT5B_IL2-CD4,STAT5B-IL2-CD4_1,Input_CD4
SRR5905839,SINGLE,H3K4me3-noIL2-CD4,H3K4me3-noIL2-CD4_1,Input_CD4
SRR5905840,SINGLE,H3K4me3_IL2-CD4,H3K4me3-IL2-CD4_1,Input_CD4
SRR5905841,SINGLE,STAT3_noIL21-CD4,STAT3-noIL21-CD4_1,Input_CD4
SRR5905842,SINGLE,STAT3_IL21-CD4,STAT3-IL21-CD4_1,Input_CD4
SRR5905843,SINGLE,STAT5B_noIL2-CD8,STAT5B-noIL2-CD8_1,
SRR5905844,SINGLE,STAT5B_IL2-CD8,STAT5B-IL2-CD8_1,
SRR5905845,SINGLE,H3K27Ac-noIL2-CD4,H3K27Ac-noIL2-CD4_1,Input_CD4
SRR5905846,SINGLE,H3K27Ac_IL2-CD4,H3K27Ac-IL2-CD4_1,Input_CD4
SRR5905847,SINGLE,STAT5B_IL2-WT-CD4,STAT5B-IL2-WT-CD4_1,Input_CD4
SRR5905848,SINGLE,STAT5B_IL2-UP-deletion-CD4,STAT5B-IL2-UPdel-CD4_1,Input_CD4
SRR5905849,SINGLE,STAT5B_IL2-IN1-deletion-CD4,STAT5B-IL2-IN1del-CD4_1,Input_CD4
SRR5905850,SINGLE,STAT5B_IL2-IN2-deletion-CD4,STAT5B-IL2-IN2del-CD4_1,Input_CD4
SRR5905851,SINGLE,H3K27Ac_IL2-WT-CD4,H3K27Ac-IL2-WT-CD4_1,Input_CD4
SRR5905852,SINGLE,H3K27Ac_IL2-UP-deletion-CD4,H3K27Ac-IL2-UPdel-CD4_1,Input_CD4
SRR5905853,SINGLE,H3K27Ac_IL2-IN1-deletion-CD4,H3K27Ac-IL2-IN1del-CD4_1,Input_CD4
SRR5905854,SINGLE,H3K27Ac_IL2-IN2-deletion-CD4,H3K27Ac-IL2-IN2del-CD4_1,Input_CD4
