ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-72203,Processing of Capped Intron-Containing Pre-mRNA,206/4504,228/8828,3.8465175425309347e-38,4.058076007370136e-35,2.2998125938500749e-35,70225/20643/70579/108989/13211/51810/67418/66125/71713/19386/67500/67332/66420/66094/69736/103468/66118/67465/67178/107829/193116/59013/20020/19069/192159/110809/67480/192160/20624/72047/445007/20382/192170/21681/54451/20384/66354/51786/18789/67797/218210/73666/212880/15387/67285/72198/66231/15381/56335/54196/71844/68705/22380/170762/17749/67959/94230/69833/68479/20826/73826/18141/67197/74351/223921/18521/15382/245841/20462/68092/69823/60532/386612/75956/19826/20630/20383/68816/108121/76936/27756/69192/71702/98053/225027/225160/20641/69241/74320/66810/72124/27366/319322/20227/53319/67710/269061/28000/76479/76938/74412/227699/227720/56194/229279/80744/69482/98985/59015/228410/11834/320632/20638/20639/66877/56488/66642/67996/67337/66679/68879/53317/94315/66511/70767/107701/68183/67225/210529/13684/69207/433702/70052/72787/17149/230596/22608/66101/56031/75062/66585/68598/68592/51796/14105/74326/231042/20492/13204/66899/231329/269113/11991/54723/108014/107939/83701/231889/54188/76522/53379/28035/330361/68011/66618/57905/54563/67678/110379/98758/60321/68988/22185/107686/232989/53607/15388/20637/68981/74737/269966/70233/233908/66491/67439/15568/70616/27967/19656/78651/68278/68219/71805/20021/64340/101943/234865/66070/15481/67958/83486/209416/68134/331401/108062/56258,206
R-MMU-3700989,Transcriptional Regulation by TP53,224/4504,262/8828,9.204963922484713e-33,4.855618469110686e-30,2.7517997410375355e-30,21399/67923/52846/14660/12021/58184/66262/72949/17248/12227/26909/209456/226830/20393/15182/140742/74747/327762/12534/66420/20869/17192/50493/52679/72068/17246/69181/117150/15574/78294/18148/12450/104625/19052/69125/21975/22187/20877/216848/22059/20020/68275/22627/12569/67338/70439/237911/20922/108083/69131/12189/22630/17420/26931/21981/11651/69562/66494/74386/66671/57748/23894/108143/12572/268697/20620/268706/219022/219024/114741/27374/219103/12177/68705/18996/105787/78757/19355/17749/22631/69833/328572/223770/19094/12455/19082/252870/223970/245841/106344/66467/21374/51792/67673/18607/56716/68776/26416/268936/12575/13163/27632/110147/13001/14885/98053/225182/72504/69241/13872/12532/24074/67655/81601/54683/67710/23942/226182/209361/18718/77683/58202/64930/107951/227743/20833/228140/18538/12995/72119/228829/241764/54401/20878/57314/228980/12428/229542/108097/15257/68576/56692/60599/12448/27354/22166/18477/54170/70088/19646/433759/66464/230784/55948/27224/56717/19744/108099/22629/24116/231329/231464/50883/69076/19079/72151/17165/231724/80751/67956/209357/22190/19718/22628/21343/69263/68240/53621/15258/12366/78783/107932/319801/12576/232791/13871/11652/20924/233058/14751/12447/12028/14884/108961/12144/24075/68742/57913/66491/22427/19053/14782/18983/69260/234366/22186/21672/26992/20021/13000/234594/53325/75747/17535/23988/12649/73699/11920/18854/235559/235610/78893/270627/245688,224
R-MMU-72163,mRNA Splicing - Major Pathway,156/4504,172/8828,1.4653828546628464e-29,4.008903218608162e-27,2.271945151578385e-27,70225/20643/13211/51810/67418/66125/71713/67500/67332/66420/66094/67465/193116/59013/20020/192159/110809/67480/192160/20624/72047/20382/192170/21681/54451/20384/66354/51786/18789/212880/15387/67285/72198/15381/54196/68705/22380/17749/67959/94230/69833/68479/20826/74351/18521/15382/245841/20462/68092/75956/19826/20630/20383/68816/108121/76936/27756/69192/71702/98053/225027/20641/69241/74320/66810/27366/319322/20227/67710/269061/28000/76479/76938/56194/229279/80744/98985/228410/11834/320632/20638/20639/66877/66642/67996/67337/68879/53317/94315/70767/107701/68183/69207/433702/70052/17149/230596/22608/66101/56031/75062/66585/68598/68592/51796/14105/74326/13204/66899/231329/11991/54723/108014/83701/231889/54188/76522/53379/28035/330361/68011/66618/57905/67678/98758/60321/68988/22185/107686/232989/53607/15388/20637/68981/74737/70233/233908/66491/67439/15568/70616/27967/19656/78651/68219/20021/64340/101943/66070/15481/67958/83486/209416/68134/108062/56258,156
R-MMU-2555396,Mitotic Metaphase and Anaphase,172/4504,194/8828,1.5199633056334264e-29,4.008903218608162e-27,2.271945151578385e-27,68549/22145/70247/76707/66977/226747/108000/226849/67141/19386/52717/216080/52696/69736/103468/380664/103573/69922/78294/103554/70385/30939/621823/19052/22187/83431/20877/19175/67139/18472/216965/69077/66140/68097/26446/22123/19192/217232/19184/66997/445007/11799/66156/52504/26443/19167/26932/19179/22367/26931/13424/19166/22151/66336/26886/60411/16563/66413/22194/218914/67089/19186/19188/71978/19357/19387/66570/22143/22146/105988/67203/21762/19170/51792/224640/16912/16913/83815/21770/72415/22153/67052/52563/16906/67951/72124/66468/23825/67849/16319/13006/227613/99152/66998/19177/59029/66442/13427/59015/19182/75786/228421/12236/12235/17222/228769/13589/66934/68612/26444/67037/100043813/19172/19185/26442/229841/66440/73804/107995/52276/26445/18221/108911/19181/12615/52206/12617/71782/56455/434233/19047/56317/59008/67151/56430/208628/22190/17120/100710/56150/110379/22144/232987/23996/57296/75430/269966/26440/18817/12237/23997/69957/19053/71876/22186/68999/234663/320394/19171/17463/72155/234865/26951/73699/26441/68014/20842/76499/235661/20843/70315/24061,172
R-MMU-68882,Mitotic Anaphase,171/4504,193/8828,2.6878955083684566e-29,5.6714595226574434e-27,3.2141571552700705e-27,68549/22145/70247/76707/66977/226747/108000/226849/19386/52717/216080/52696/69736/103468/380664/103573/69922/78294/103554/70385/30939/621823/19052/22187/83431/20877/19175/67139/18472/216965/69077/66140/68097/26446/22123/19192/217232/19184/66997/445007/11799/66156/52504/26443/19167/26932/19179/22367/26931/13424/19166/22151/66336/26886/60411/16563/66413/22194/218914/67089/19186/19188/71978/19357/19387/66570/22143/22146/105988/67203/21762/19170/51792/224640/16912/16913/83815/21770/72415/22153/67052/52563/16906/67951/72124/66468/23825/67849/16319/13006/227613/99152/66998/19177/59029/66442/13427/59015/19182/75786/228421/12236/12235/17222/228769/13589/66934/68612/26444/67037/100043813/19172/19185/26442/229841/66440/73804/107995/52276/26445/18221/108911/19181/12615/52206/12617/71782/56455/434233/19047/56317/59008/67151/56430/208628/22190/17120/100710/56150/110379/22144/232987/23996/57296/75430/269966/26440/18817/12237/23997/69957/19053/71876/22186/68999/234663/320394/19171/17463/72155/234865/26951/73699/26441/68014/20842/76499/235661/20843/70315/24061,171
R-MMU-72172,mRNA Splicing,160/4504,178/8828,3.534652468319938e-29,6.2150972567958915e-27,3.5222501789574125e-27,70225/20643/13211/51810/67418/66125/71713/67500/67332/66420/66094/67465/67178/193116/59013/20020/192159/110809/67480/192160/20624/72047/20382/192170/21681/54451/20384/66354/51786/18789/67797/212880/15387/67285/72198/15381/54196/68705/22380/17749/67959/94230/69833/68479/20826/67197/74351/18521/15382/245841/20462/68092/75956/19826/20630/20383/68816/108121/76936/27756/69192/71702/98053/225027/20641/69241/74320/66810/27366/319322/20227/67710/269061/28000/76479/76938/56194/229279/80744/98985/228410/11834/320632/20638/20639/66877/66642/67996/67337/68879/53317/94315/70767/107701/68183/67225/69207/433702/70052/17149/230596/22608/66101/56031/75062/66585/68598/68592/51796/14105/74326/13204/66899/231329/11991/54723/108014/83701/231889/54188/76522/53379/28035/330361/68011/66618/57905/67678/98758/60321/68988/22185/107686/232989/53607/15388/20637/68981/74737/70233/233908/66491/67439/15568/70616/27967/19656/78651/68219/20021/64340/101943/66070/15481/67958/83486/209416/68134/108062/56258,160
R-MMU-2467813,Separation of Sister Chromatids,163/4504,183/8828,1.349524530160863e-28,2.033926256171015e-26,1.1526765911749927e-26,68549/22145/70247/76707/66977/226747/108000/226849/19386/52717/216080/52696/69736/103468/103573/78294/103554/70385/30939/621823/19052/22187/83431/20877/19175/67139/18472/216965/69077/66140/68097/26446/22123/19192/217232/19184/66997/445007/11799/66156/52504/26443/19167/26932/19179/26931/13424/19166/22151/66336/26886/60411/16563/66413/22194/218914/67089/19186/19188/19357/19387/66570/22143/22146/105988/67203/21762/19170/51792/16912/16913/83815/21770/72415/22153/67052/52563/67951/72124/66468/67849/16319/13006/227613/99152/66998/19177/59029/66442/13427/59015/19182/75786/228421/12236/12235/17222/228769/13589/66934/68612/26444/67037/100043813/19172/19185/26442/229841/66440/73804/107995/52276/26445/18221/108911/19181/12615/52206/12617/56455/434233/19047/56317/59008/67151/56430/208628/22190/17120/100710/56150/110379/22144/232987/23996/57296/75430/269966/26440/18817/12237/23997/69957/19053/71876/22186/68999/234663/320394/19171/17463/72155/234865/26951/73699/26441/68014/20842/76499/235661/20843/70315/24061,163
R-MMU-983168,Antigen processing: Ubiquitination & Proteasome degradation,233/4504,286/8828,1.389470725774224e-27,1.832364519614758e-25,1.0384465424207359e-25,66799/67923/22019/57751/26554/14897/70247/67921/65247/226541/71865/209462/67345/216080/22213/216150/70294/50492/56371/69754/93765/67588/78294/103554/103583/211007/621823/22210/21402/94091/22187/19175/67128/104184/78889/69077/68729/19155/26446/72194/22123/217194/19192/217232/19184/66313/66997/217342/12702/66156/104836/26443/69706/19167/68497/19179/399566/142688/19166/218203/66413/22194/142687/67089/19186/19188/211255/50789/106052/30945/56438/78541/17237/12703/70620/22195/224023/21762/207215/224170/208650/78913/19170/240028/67673/12449/74154/16912/16913/79263/66515/224826/224938/106585/12211/225055/71745/56515/52563/56550/56736/240396/226098/30838/99152/30839/98766/72323/227738/66998/19177/59029/228003/22193/56791/19182/22222/70928/17222/228769/24105/16396/68612/81018/26444/20439/50754/70093/19172/19185/67845/26442/66105/107568/67490/56228/67615/66440/69807/242521/230654/76608/66743/107995/26445/75234/69116/50762/76580/140499/19181/100763/19822/242960/52206/71778/53323/231380/68098/170823/117146/231670/56317/59008/80751/30841/67151/22190/212919/231863/75788/74132/22214/26965/387524/67138/73998/243574/22200/22346/74244/232539/77891/22192/23996/50760/57296/15204/22215/117589/207952/76375/83962/26440/19647/23997/69957/76294/59009/77113/22186/68999/68628/19171/17463/170737/209239/30843/50868/140630/75717/26441/109161/71999/235439/74165/93836/17999/71538/70348/19823/66663/321006/22036/74153/84585/23807/636931/22201/22209/19820/59026/68854,233
R-MMU-69620,Cell Cycle Checkpoints,230/4504,282/8828,2.241098036445704e-27,2.6270649205002424e-25,1.4888230230422923e-25,17215/68549/18393/22218/12021/70247/76707/17219/17248/26374/66977/26909/226747/108000/226849/19386/52717/327762/12534/216080/52696/59004/69736/93765/17246/103468/15574/103573/78294/103554/70385/621823/19052/21975/22187/83431/20877/22059/19175/67139/18472/68275/22627/216965/69077/237911/66140/68097/26446/22123/23834/19192/12189/217232/19184/66997/445007/11799/66156/52504/22630/26443/19167/26932/19179/26931/13424/19166/66336/20184/74386/26886/268697/60411/16563/66413/22194/67089/19186/19188/19355/22631/19387/66570/29870/223970/67203/70620/17217/12544/21762/106344/70238/19170/51792/268930/12575/58230/16912/16913/240087/83815/21770/72415/67052/225182/52563/12532/72124/66468/81601/16319/70024/99152/66998/19177/26428/59029/66442/13427/59015/19182/75786/228421/12236/27223/12235/17222/66634/228769/13589/228829/66934/54401/68612/26444/12428/67037/100043813/19172/19185/26442/229841/12448/27354/50793/66440/18392/73804/107995/52276/269582/26445/18221/55948/108911/27214/19181/26429/12615/107976/22629/107823/52206/12617/70681/12545/50883/56455/72151/434233/19047/231724/56317/59008/67151/56430/208628/22190/19718/22628/17220/17120/69263/68240/56150/17216/110379/12576/232987/23996/57296/12447/15204/12144/75430/269966/22390/26440/18817/12237/23997/69957/22427/19053/71876/22186/68251/17218/68999/234663/320394/19171/17463/72155/234865/17535/12649/15270/26951/73699/11920/26441/68014/12442/235559/235610/12530/76499/235661,230
R-MMU-69242,S Phase,131/4504,142/8828,8.010673508943921e-27,8.451260551935836e-25,4.78953952955805e-25,17215/19076/18393/70247/17219/52717/327762/216080/56371/12567/19075/18972/78294/103554/621823/21402/22187/19175/68275/69077/26446/22123/23834/19192/217232/19184/66997/66156/26443/18974/19167/17420/19179/11651/19166/66671/12572/66413/22194/218914/67089/19186/19188/71988/19645/19357/56438/17217/21762/106344/19170/12575/16912/16913/77805/63955/52563/18969/67849/13006/99152/66998/19177/26428/59029/19182/17222/12531/18538/66634/69270/228769/68612/26444/12428/54124/19172/19185/26442/12448/50793/66440/59001/18392/26445/19181/26429/52206/19687/18973/72151/56317/59008/67151/22190/19718/17220/100710/69263/68240/26965/66979/17216/12576/16881/11652/23996/57296/12447/18971/67967/75430/22390/26440/23997/69957/109145/22186/17218/68999/78833/19171/17463/272551/67177/26441/20842/12530/20843/18968/24061,131
