ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-72203,Processing of Capped Intron-Containing Pre-mRNA,179/3529,228/8828,2.953382628339368e-33,3.0537976377029068e-30,1.6663295671472648e-30,108989/13211/51810/67418/66125/71713/19386/67500/67332/66420/69736/103468/66118/67178/107829/78372/193116/59013/19069/192159/110809/67480/20624/72047/20382/192170/54451/20384/66354/51786/67797/218210/73666/77134/15387/67285/72198/66231/15381/56335/54196/71844/68705/22380/170762/17749/67959/69833/68479/20826/73826/18141/67197/74351/223921/15382/245841/20462/68092/69823/60532/75956/19826/20630/20383/68816/108121/76936/27756/53817/71702/98053/225027/225160/69241/74320/66810/72124/27366/319322/20227/53319/67710/28000/83410/76479/227699/56194/229279/69482/98985/59015/228410/11834/320632/20638/20639/66877/56488/67996/67337/68879/53317/94315/66511/70767/107701/60365/68183/67225/210529/13684/69207/70052/17149/230596/22608/75062/68598/68592/51796/14105/74326/20492/13204/66899/231329/269113/11991/54723/108014/76167/83701/231889/54188/76522/53379/66373/68011/23983/66618/57905/67678/110379/98758/68988/22185/107686/232989/53607/15388/69920/233073/20637/68981/74737/70233/233908/66491/67439/15568/70616/27967/19656/68278/68219/71805/20021/64340/234865/66070/15481/67958/83486/209416/68134/331401/19655/56258,179
R-MMU-3700989,Transcriptional Regulation by TP53,195/3529,262/8828,1.5520387373472077e-30,8.024040272085064e-28,4.378382964305808e-28,21399/67923/14660/12021/58184/72949/17248/12227/23797/209456/20393/74747/327762/12534/66420/20869/50493/12905/72068/17246/69181/117150/12566/15574/78294/18148/12450/104625/19052/69125/21975/22187/20877/216848/22059/68275/22627/67338/70439/237911/20922/69131/26399/22630/17420/26931/21981/11651/69562/66494/74386/66671/57748/23894/108143/12572/268697/268706/219022/114741/27374/56187/219103/12177/68705/18996/105787/78757/17749/22631/69833/328572/223770/12455/19082/29813/252870/245841/106344/66467/51792/18607/56716/68776/26416/268936/12575/13163/27632/110147/13001/14885/98053/225182/69241/13872/12532/24074/67655/54683/67710/23942/226182/209361/18718/77683/58202/227743/20833/18538/12995/72119/54401/20878/57314/83409/229542/15257/68576/99730/56692/19352/60599/12448/22166/68441/18477/19646/433759/66464/230784/55948/27224/56717/12568/19744/108099/22629/24116/231329/231464/50883/69076/19079/72151/17165/231724/80751/67956/209357/22190/19718/22628/21343/66096/69263/68240/53621/12366/78783/319801/12576/232791/333654/11652/20924/69920/14751/12447/14884/108961/12144/66508/24075/57913/66491/22427/19053/14782/18983/69260/234366/22186/26992/20021/234594/53325/75747/17535/12649/73699/11920/18854/235610/14381,195
R-MMU-72172,mRNA Splicing,143/3529,178/8828,1.0718719528309067e-28,3.694385330757192e-26,2.015871462166197e-26,13211/51810/67418/66125/71713/67500/67332/66420/67178/78372/193116/59013/192159/110809/67480/20624/72047/20382/192170/54451/20384/66354/51786/67797/77134/15387/67285/72198/15381/54196/68705/22380/17749/67959/69833/68479/20826/67197/74351/15382/245841/20462/68092/75956/19826/20630/20383/68816/108121/76936/27756/71702/98053/225027/69241/74320/66810/27366/319322/20227/67710/28000/83410/76479/56194/229279/98985/228410/11834/320632/20638/20639/66877/67996/67337/68879/53317/94315/70767/107701/60365/68183/67225/69207/70052/17149/230596/22608/75062/68598/68592/51796/14105/74326/13204/66899/231329/11991/54723/108014/76167/83701/231889/54188/76522/53379/66373/68011/23983/66618/57905/67678/98758/68988/22185/107686/232989/53607/15388/69920/233073/20637/68981/74737/70233/233908/66491/67439/15568/70616/27967/19656/68219/20021/64340/66070/15481/67958/83486/209416/68134/19655/56258,143
R-MMU-69620,Cell Cycle Checkpoints,201/3529,282/8828,2.9759446929729025e-27,7.692817031334953e-25,4.197648303772305e-25,17215/68549/22218/12021/76707/17219/17248/26374/66977/108000/226849/19386/52717/327762/12534/52696/59004/69736/93765/17246/103468/12566/15574/103573/78294/103554/70385/19052/21975/22187/83431/20877/22059/19175/18472/68275/22627/216965/69077/237911/66140/26446/22123/23834/19192/217232/19184/66997/11799/52504/22630/26443/19167/26932/19179/26931/19166/319185/319187/319153/665596/319183/69386/319156/319179/66336/20184/74386/26886/268697/60411/16563/66413/67089/19173/19186/19188/22631/19387/66570/29870/29813/17217/12544/21762/106344/70238/19170/51792/12575/16912/16913/240087/83815/72415/67052/225182/52563/12532/72124/16319/70024/99152/66998/26428/59029/13427/59015/19182/75786/228421/27223/12235/17222/228769/13589/54401/68612/26444/67037/100043813/19172/19185/319190/97122/26442/229841/12448/50793/66440/18392/107995/269582/26445/18221/55948/108911/69928/19181/26429/12615/107976/22629/107823/12617/12545/50883/56455/72151/434233/231724/56317/59008/67151/56430/208628/22190/19718/22628/17220/69263/68240/56150/17216/110379/12576/320332/23996/57296/12447/15204/12144/75430/22390/26440/18817/12237/23997/69957/22427/19053/71876/22186/68251/17218/68999/234663/19171/17463/72155/234865/17535/12649/15270/26951/73699/11920/68014/12442/235610/235661,201
R-MMU-72163,mRNA Splicing - Major Pathway,137/3529,172/8828,7.877831863782201e-27,1.6291356294301593e-24,8.889511324183706e-25,13211/51810/67418/66125/71713/67500/67332/66420/193116/59013/192159/110809/67480/20624/72047/20382/192170/54451/20384/66354/51786/77134/15387/67285/72198/15381/54196/68705/22380/17749/67959/69833/68479/20826/74351/15382/245841/20462/68092/75956/19826/20630/20383/68816/108121/76936/27756/71702/98053/225027/69241/74320/66810/27366/319322/20227/67710/28000/83410/76479/56194/229279/98985/228410/11834/320632/20638/20639/66877/67996/67337/68879/53317/94315/70767/107701/60365/68183/69207/70052/17149/230596/22608/75062/68598/68592/51796/14105/74326/13204/66899/231329/11991/54723/108014/83701/231889/54188/76522/53379/66373/68011/23983/66618/57905/67678/98758/68988/22185/107686/232989/53607/15388/69920/233073/20637/68981/74737/70233/233908/66491/67439/15568/70616/27967/19656/68219/20021/64340/66070/15481/67958/83486/209416/68134/19655/56258,137
R-MMU-69242,S Phase,114/3529,142/8828,4.7314971225286376e-23,8.153946707824353e-21,4.449267469605877e-21,17215/19076/17219/23797/52717/327762/56371/12567/19075/12566/18972/78294/103554/21402/22187/19175/68275/69077/26446/22123/23834/19192/217232/19184/66997/26443/18974/19167/17420/19179/11651/19166/66671/12572/66413/218914/67089/19173/19186/19188/71988/19645/19357/56438/17217/21762/106344/19170/12575/16912/16913/77805/52563/18969/67849/99152/66998/26428/59029/19182/17222/18538/228769/68612/26444/54124/19172/19185/26442/12448/50793/66440/18392/26445/19181/26429/19687/72151/56317/59008/67151/22190/19718/17220/100710/69263/68240/26965/17216/12576/16881/11652/23996/57296/12447/18971/67967/75430/22390/26440/23997/69957/22186/17218/68999/78833/19171/17463/272551/67177/20842/20843/18968/24061,114
R-MMU-68886,M Phase,245/3529,383/8828,3.062466585269951e-22,4.523700641670185e-20,2.4683941198566823e-20,68549/22145/76707/108989/66352/66977/76816/15078/108000/226849/67141/19386/52717/12534/52696/18541/69736/17997/103468/380664/19324/103573/69922/78294/103554/70385/19052/22187/83431/20877/19175/19069/18472/22627/216965/69077/66140/26446/22123/103768/19192/217232/19184/66997/18750/15081/11799/104318/52504/14245/26443/19167/26932/19179/22367/26931/15519/76044/19166/319185/319187/319153/665596/319168/319183/69386/319151/319156/319179/218210/66336/74470/26886/268697/60411/16563/66413/218914/67089/219072/19173/19186/19188/219103/71844/19645/76789/170762/71175/19357/19387/66570/18141/328580/52683/22143/22146/105988/223921/72083/26413/21762/75296/19170/51792/16912/16913/13001/22154/83815/72415/64898/67052/19348/52563/16906/72124/70799/225745/76308/23825/67849/16319/54130/67121/227613/99152/18286/56086/227699/99412/66998/26920/59029/70231/13427/69482/59015/19182/75786/228421/66296/51885/99100/215387/12235/17222/228769/12995/13589/16328/68612/26444/20873/70099/67037/100043813/19172/19185/319190/97114/15077/97122/26442/229841/51788/59021/53598/14211/66440/230376/107995/26445/18221/108911/69928/19181/12615/54392/381644/12617/269113/56455/434233/56317/59008/67151/56430/208628/67956/22190/22628/100710/83922/56150/236266/110379/68298/320332/232440/23996/57296/71909/75430/101706/26440/101565/18817/18751/26417/12237/23997/69957/244329/19053/18536/71876/74549/22186/76478/68999/382030/71805/234663/19171/17463/72155/234865/74360/78658/15270/26951/73699/71819/68014/12442/59046/68121/20842/28135/235661/20843/26370/13726/24061,245
R-MMU-983169,Class I MHC mediated antigen processing & presentation,223/3529,345/8828,3.6927331049231815e-21,4.772857538113212e-19,2.6043486108405596e-19,66799/67923/22019/57751/26554/14897/65247/226541/71865/67345/22213/216150/70294/56371/69754/93765/67588/78294/103554/103583/211007/12330/77371/66397/22210/21402/94091/22187/19175/67128/104184/78889/69077/68729/19155/26446/72194/22123/19192/217232/19184/66313/66997/12702/104836/26443/69706/19167/68497/19179/19166/218203/80898/66413/218811/67089/19173/19186/19188/50789/30945/67731/56438/12703/22195/21762/209200/224170/208650/78913/19170/240028/12449/74154/56424/21356/14972/16912/16913/21355/15013/15015/110557/15018/15007/15042/15040/15039/667977/14985/14991/224826/224938/106585/12211/225055/71745/56515/52563/56550/56736/240396/226098/68431/99152/30839/98766/72323/14828/66998/59029/22193/16410/56791/19182/20619/22222/14827/12010/70928/17222/228769/24105/16396/68612/81018/26444/50754/70093/19172/19185/67845/20333/26442/69608/66105/107568/67490/67615/66440/242521/76608/107995/26445/75234/69116/50762/22319/242785/76580/140499/19181/19822/231380/68098/69162/170823/56317/59008/80751/30841/67151/22190/74132/22214/26965/387524/67138/73998/22320/22200/22346/110379/74244/101358/14794/232539/77891/23996/57296/15204/22215/117589/207952/76375/83962/26440/19647/233902/20909/23997/69957/22186/68999/12317/68628/20437/50788/19171/17463/170737/209239/76454/13057/30843/50868/140630/75717/71999/235439/74165/93836/17999/71538/19823/66663/321006/22036/23807/22201/18744/19820/59026,223
R-MMU-453279,Mitotic G1-G1/S phases,101/3529,126/8828,1.8237069294108292e-20,2.095236627789775e-18,1.1432829405429293e-18,17215/19076/17219/23797/12567/19075/12566/78294/19052/21402/22187/19175/68275/69077/26446/22123/23834/19192/19184/66997/26443/18974/19167/17420/217708/19179/11651/19166/57441/13557/66671/12572/66413/67089/19173/19186/19188/19645/17217/12544/21762/13548/19170/51792/12575/16912/16913/12445/18969/16452/70024/11350/66998/26428/59029/19182/228769/19650/26444/54124/19172/19185/26442/12448/50793/18392/26445/19646/433759/242705/12571/19181/26429/231506/12545/67151/22190/17220/68240/26965/17216/12444/12576/11652/23996/57296/75660/12447/22390/26440/23997/19053/22186/17218/19651/104394/19171/17463/67177/73699/18968,101
R-MMU-69306,DNA Replication,99/3529,123/8828,2.49643364406983e-20,2.5813123879682044e-18,1.408514140233083e-18,17215/19076/17219/52717/327762/56371/19075/12566/18972/78294/103554/21402/22187/19175/68275/69077/26446/22123/23834/19192/217232/19184/66997/26443/18974/19167/19179/19166/57441/13557/66413/67089/19173/19186/19188/56438/17217/12544/21762/106344/19170/16912/16913/52563/18969/70024/99152/66998/26428/59029/19182/17222/18538/228769/68612/26444/19172/19185/26442/12448/50793/66440/18392/26445/242705/19181/26429/19687/12545/72151/56317/59008/67151/22190/19718/17220/69263/68240/26965/17216/16881/23996/57296/12447/18971/67967/75430/26440/23997/69957/22186/17218/68999/78833/19171/17463/272551/67177/18968,99
