ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-68886,M Phase,351/5260,383/8828,4.012999223419608e-47,4.2497661776013646e-44,2.1670195806465881e-44,68549/22145/70247/76707/108989/66352/66977/76816/226747/15078/108000/226849/18005/67141/69912/19386/52717/12534/216080/52696/18541/69736/17997/216274/103468/380664/69654/77605/19324/103573/69922/78294/103554/70385/30939/19052/22187/83431/20877/19175/19069/18472/22627/216965/69077/66140/68097/26446/22123/103733/103768/19192/217232/19184/66997/18750/445007/15081/11799/12009/66156/104318/52504/14245/19088/26443/19167/26932/217718/19179/22367/26931/13424/15519/76044/19166/319185/319191/319152/319186/319159/319160/319169/319187/319153/319170/319188/665596/665433/100041230/319161/319168/319184/319158/319167/319183/69386/319173/97908/319182/260423/319157/319151/319166/319181/319180/319165/319149/319156/319179/319164/68024/319155/319148/319178/319172/319150/326620/326619/360198/319177/22151/218210/66336/74470/26886/268697/60411/16563/66413/22194/218914/67089/219072/19173/19186/19188/219103/71844/71978/19645/76789/170762/71175/19357/27373/19387/66570/18141/328580/52683/22143/22146/105988/223921/67203/72083/26413/21762/75296/19170/51792/224640/16912/16913/13001/22154/83815/21770/72415/64898/67052/19348/52563/16906/67951/72124/70799/66468/225745/76308/23825/67849/225849/16319/208518/54130/13006/67121/227613/68475/99152/18286/56086/227699/227720/99412/66998/26920/19177/59029/66442/70231/13427/69482/59015/19182/75786/228421/12236/66296/51885/99100/215387/12235/17222/228769/12995/13589/16328/66934/68612/66679/26444/20873/70099/67037/16905/100043813/19172/19185/319190/97114/15267/15077/97122/319154/26442/229841/51788/59021/53598/14211/66440/214444/230376/67733/72787/73804/107995/52276/26445/18221/108911/69928/100986/19181/231042/12615/231123/54392/52206/381644/12617/269113/71782/56455/19047/434233/56317/59008/67151/56430/208628/67956/22190/107939/22628/17120/100710/83922/56150/13191/236266/54563/110379/53857/68298/320332/232440/232987/23996/57296/71909/18226/233276/75430/101706/269966/26440/101565/18817/18751/26417/12237/74237/23997/259279/69957/244329/19053/18536/71876/74549/22186/76478/68999/18747/382030/71805/13000/234663/320394/19171/17463/72155/234865/74360/67629/78658/15270/26951/73699/26441/71819/68014/12442/59046/68121/20842/28135/76499/235661/20843/26370/73738/13726/236930/70315/320595/24061,351
R-MMU-69620,Cell Cycle Checkpoints,269/5260,282/8828,1.9647942824523653e-45,1.0403585725585273e-42,5.304944562621386e-43,17215/68549/18393/22218/12021/70247/76707/17219/17248/26374/66977/26909/226747/108000/226849/69912/19386/52717/327762/12534/216080/52696/59004/69736/93765/17246/103468/12566/15574/103573/78294/103554/70385/19052/21975/22187/83431/20877/22059/19175/18472/68275/22627/216965/69077/237911/66140/68097/26446/22123/23834/19192/12189/217232/19184/66997/445007/11799/66156/52504/22630/26443/19167/26932/19179/26931/13424/19166/319185/319152/319186/319159/319160/319187/319153/319188/665596/100041230/319161/319184/319158/319183/69386/97908/319182/319157/319181/319180/319156/319179/68024/319155/319178/326620/326619/360198/319177/66336/20184/26886/268697/60411/16563/66413/22194/67089/19173/19186/19188/19355/22631/19387/66570/29870/223970/67203/70620/17217/12544/21762/106344/70238/19170/51792/268930/12575/58230/16912/16913/240087/83815/21770/72415/67052/225182/52563/12532/72124/66468/19367/81601/225849/16319/70024/99152/66998/19177/26428/59029/66442/13427/59015/19182/75786/228421/12236/27223/12235/17222/66634/228769/13589/228829/66934/54401/68612/26444/12428/67037/100043813/19172/19185/319190/97122/26442/229841/12448/27354/50793/66440/67733/18392/73804/107995/52276/269582/26445/18221/55948/108911/69928/27214/19181/26429/12615/107976/22629/107823/52206/12617/70681/12545/50883/56455/72151/19047/434233/231724/56317/59008/67151/56430/208628/22190/19718/22628/17220/17120/69263/68240/56150/17216/110379/12576/320332/232987/23996/57296/12447/15204/12144/75430/269966/22390/26440/18817/12237/23997/69957/22427/19053/71876/22186/68251/17218/68999/234663/320394/19171/17463/72155/234865/17535/67629/12649/15270/26951/73699/11920/26441/68014/12442/235559/235610/12530/76499/235661/210766/236930,269
R-MMU-73894,DNA Repair,293/5260,314/8828,1.4006648441673896e-43,4.944346899910885e-41,2.521196719501302e-41,21399/26754/21749/56210/246229/22218/12021/22596/26895/108679/67196/26909/76843/19714/327762/20610/66420/59004/50721/21665/93765/21853/12566/54125/18972/77605/15574/67030/78294/268395/22210/268420/21975/22187/22059/20020/68275/66983/19364/237911/114714/217069/268465/12189/16647/170930/71885/217365/20892/209334/104806/18974/17420/19363/22632/74335/319185/319191/319152/319186/319159/319160/319169/319187/319153/319170/319188/665596/665433/100041230/319161/319168/319184/319158/319167/319183/69386/319173/97908/319182/319157/319166/319181/319180/319165/319156/319179/319164/68024/319155/319178/319172/326620/326619/360198/319177/56196/20184/14088/66671/108138/17686/27015/23894/12572/71991/56249/104416/319955/26419/11546/11792/382913/19355/17749/69833/56438/328572/14375/51812/71726/52864/252870/223970/50505/70620/19090/224008/22230/245841/106344/70238/77782/15312/66467/18207/193838/22196/58230/14885/240087/80905/193796/17685/17688/225182/225280/69241/13872/26447/19367/69745/71711/81601/67710/13194/28000/56626/227525/11350/51869/107986/11834/19361/68142/27223/12848/18538/14049/269400/56456/12428/319190/15267/97122/229615/68058/140917/51788/27354/77593/269523/60534/22590/19359/59001/230484/70603/230674/56031/100206/269582/14050/71890/69928/67513/57434/55982/107976/71101/107823/272158/19822/19687/231329/26891/70681/18973/50883/22256/72151/231724/209357/22190/19718/22385/26893/11461/12190/69263/68240/101185/66979/70020/57905/56505/22591/232314/58186/18294/211651/17193/19365/26894/19362/320332/232440/69714/16881/19060/13870/13871/22594/69920/101831/18971/14884/15204/330554/208836/12144/67967/11785/233826/56420/66491/67439/319583/99375/18970/22427/234258/22186/68251/93762/19358/26383/20021/497652/21750/57321/22224/14087/244666/17535/235134/12649/15270/11920/72774/56469/66131/68026/93836/235559/74153/235610/17350/67561/72584/26370/210766/237211,293
R-MMU-72203,Processing of Capped Intron-Containing Pre-mRNA,218/5260,228/8828,2.0057302626638577e-37,4.3100916577993045e-35,2.197780448736189e-35,20643/108989/13211/51810/69912/67418/66125/71713/19386/67500/67332/66420/66094/69736/103468/66118/67465/67178/107829/78372/193116/59013/20020/19069/192159/110809/67480/192160/20624/72047/445007/20382/192170/21681/54451/20384/66354/51786/18789/67797/218210/73666/212880/77134/15387/238831/67285/72198/66231/15381/56335/54196/71844/68705/22380/170762/17749/67959/94230/69833/68479/20826/73826/18141/67197/74351/223921/18521/15382/245841/20462/68092/69823/60532/386612/75956/19826/20630/20383/68816/108121/76936/27756/53817/69192/71702/98053/225027/225160/20641/69241/74320/66810/72124/27366/319322/20227/53319/67710/269061/28000/83410/76479/76938/74412/227699/227720/56194/229279/80744/69482/98985/59015/228410/11834/320632/20638/20639/66877/56488/66642/67996/67337/66679/68879/53317/94315/66511/70767/107701/60365/68183/67225/210529/13684/69207/70052/72787/17149/230596/22608/66101/56031/75062/66585/68598/68592/51796/14105/74326/231042/20492/13204/66899/231329/269113/11991/54723/108014/76167/107939/83701/231889/54188/76522/53379/66373/28035/330361/68011/23983/66618/57905/54563/67678/110379/98758/68988/22185/107686/232989/53607/15388/69920/233073/18226/20637/20646/68981/74737/269966/70233/233908/66491/67439/15568/70616/50783/27967/19656/78651/68278/68219/71805/20021/64340/234865/66070/15481/67958/83486/209416/54633/68134/331401/19655/108062/56258,218
R-MMU-2262752,Cellular responses to stress,375/5260,431/8828,2.034981896977953e-37,4.3100916577993045e-35,2.197780448736189e-35,108664/21749/67923/213539/26921/22145/70247/17164/17248/338375/108989/19821/11758/15078/69912/17684/26408/140742/66403/19386/52717/93759/216080/104248/56371/50493/69736/17246/103468/270802/69654/56351/12566/71962/12323/77605/78294/103554/17168/26420/216742/26397/23939/22187/26398/216850/22059/19175/50932/19069/68275/22627/52615/69077/68097/26446/22123/56354/19192/217232/19184/66997/445007/15081/12416/30951/12418/18453/66156/112407/26443/56444/19167/15251/15512/73834/14281/19179/13424/15519/70369/19166/319185/319191/319152/319186/319159/319160/319169/319187/56702/319153/319170/319188/665596/665433/100041230/319161/319168/319184/319158/319167/319183/69386/319173/97908/319182/260423/319157/14957/319151/319166/319181/319180/319165/319149/319156/319179/50709/319164/68024/319155/50708/319148/319178/319172/319150/326620/326619/360198/80838/319177/22151/218210/268706/66413/22194/12325/26419/50527/67089/16475/19173/19186/19188/71844/219158/19645/170762/66335/15499/56551/17972/14958/66538/70356/56438/328572/18141/19094/22143/22146/223921/170644/26413/26462/15260/21762/56637/11964/110920/20655/23872/19170/67673/11984/56716/268933/11974/15361/111241/14229/26416/12575/16912/16913/110147/15511/66237/15516/13819/71745/52563/15526/56550/16906/67665/67951/72124/27060/14870/12460/81601/54683/20867/319594/54130/73442/11757/50497/12151/77683/227613/99152/227699/227720/14828/66998/19177/59029/13427/69482/59015/19182/12359/17222/228769/68612/12608/66679/26444/665113/241915/12428/18415/329679/83409/19172/19185/11863/319190/97114/15267/15077/97122/319154/68576/26442/108058/51788/56692/12448/27354/52187/15502/12017/66401/53598/269523/22166/66440/66290/68441/16476/72787/18477/114143/230676/29871/54170/26445/54383/19646/230784/20111/12345/56717/22791/19181/231042/19744/23950/277854/52206/269113/75560/56455/17165/56317/59008/67151/22190/80909/17969/107939/66096/15505/252875/68240/101148/12343/101185/66144/14056/13191/54563/22346/110379/11973/53857/13619/101142/14228/12576/320332/232440/53417/13875/112406/23996/57296/12447/18226/67605/67669/13626/75430/66508/269966/26440/59288/26417/29810/23997/26400/69957/67384/14782/22428/11966/22186/68999/81489/21672/56445/71805/234663/11972/497652/19171/21750/17463/319481/57321/68196/13057/234865/112405/17535/23871/15481/15270/11920/58233/26441/13627/102626/56032/14775/235661/29806/11835/245670/110651/245688,375
R-MMU-8953897,Cellular responses to external stimuli,376/5260,433/8828,4.339203278072301e-37,7.658693785797611e-35,3.905282950265071e-35,108664/21749/67923/213539/26921/22145/70247/17164/17248/338375/108989/19821/11758/15078/69912/17684/26408/140742/66403/19386/52717/93759/216080/104248/56371/50493/69736/17246/103468/270802/69654/56351/12566/71962/12323/77605/78294/103554/17168/26420/216742/26397/23939/22187/26398/216850/22059/19175/50932/19069/68275/22627/52615/69077/68097/26446/22123/56354/19192/217232/19184/66997/445007/15081/12416/30951/12418/18453/66156/112407/26443/56444/19167/15251/15512/73834/14281/19179/13424/15519/70369/19166/319185/319191/319152/319186/319159/319160/319169/319187/56702/319153/319170/319188/665596/665433/100041230/319161/319168/319184/319158/319167/319183/69386/319173/97908/319182/260423/319157/14957/319151/319166/319181/319180/319165/319149/319156/319179/50709/319164/68024/319155/50708/319148/319178/319172/319150/326620/326619/360198/80838/319177/22151/218210/268706/66413/22194/12325/26419/50527/67089/16475/19173/19186/19188/71844/219158/19645/170762/66335/15499/56551/17972/14958/66538/70356/56438/328572/18141/19094/22143/22146/223921/170644/26413/26462/15260/21762/56637/11964/110920/20655/23872/19170/67673/11984/56716/268933/11974/15361/111241/14229/26416/12575/16912/16913/110147/15511/66237/15516/13819/71745/52563/15526/56550/16906/67665/67951/72124/27060/14870/12460/81601/54683/20867/319594/54130/73442/11757/50497/12151/77683/227613/99152/227699/227720/14828/66998/19177/59029/13427/69482/59015/19182/12359/17222/228769/68612/12608/66679/26444/665113/241915/12428/18415/329679/83409/19172/19185/11863/319190/97114/15267/15077/97122/319154/68576/26442/108058/51788/56692/12448/27354/52187/15502/12017/66401/53598/269523/22166/66440/66290/68441/16476/72787/18477/114143/230676/29871/54170/26445/54383/19646/230784/20111/12345/56717/22791/19181/231042/19744/23950/277854/52206/269113/75560/56455/17165/56317/59008/67151/22190/80909/17969/107939/66096/15505/252875/68240/101148/12343/101185/66144/14056/13191/54563/22346/110379/11973/53857/13619/101142/14228/12576/320332/232440/53417/13875/112406/23996/57296/12447/18226/67605/67669/13626/75430/66508/269966/26440/59288/26417/29810/23997/26400/69957/67384/14782/22428/11966/22186/68999/81489/21672/56445/17750/71805/234663/11972/497652/19171/21750/17463/319481/57321/68196/13057/234865/112405/17535/23871/15481/15270/11920/58233/26441/13627/102626/56032/14775/235661/29806/11835/245670/110651/245688,376
R-MMU-3700989,Transcriptional Regulation by TP53,244/5260,262/8828,5.661550628742248e-36,8.565117308340057e-34,4.367481913601163e-34,21399/67923/52846/14660/12021/66262/68428/72949/17248/12227/26909/23797/209456/226830/20393/15182/140742/74747/327762/12534/66420/20869/17192/50493/12905/52679/72068/17246/69181/117150/216456/12566/15574/78294/18148/12450/104625/19052/69125/21975/22187/20877/216848/22059/20020/68275/22627/12569/67338/70439/237911/20922/108083/69131/12189/22630/17420/26931/21981/11651/69562/66494/66671/57748/23894/12572/268697/20620/268706/219022/219024/114741/27374/56187/219103/12177/68705/105787/78757/19355/17749/22631/69833/328572/109270/223770/19094/12455/19082/252870/223970/245841/106344/66467/21374/51792/67673/18607/56716/68776/26416/268936/12575/13163/27632/110147/13001/14885/98053/225182/72504/69241/13872/12532/24074/67655/19367/81601/54683/67710/23942/226182/209361/18718/77683/58202/64930/107951/227743/20833/228140/18538/12995/72119/228829/54401/20878/57314/228980/12428/83409/229542/108097/15257/68576/99730/56692/19352/60599/12448/27354/52187/22166/68441/18477/54170/70088/19646/433759/66464/230784/55948/27224/56717/22062/12568/19744/108099/22629/24116/231329/231464/50883/69076/19079/72151/17165/231724/80751/67956/209357/22190/19718/22628/21343/66096/69263/68240/53621/15258/12366/13197/78783/107932/319801/12576/232791/333654/13871/11652/20924/233058/69920/14751/12447/12028/14884/108961/12144/66508/24075/68742/57913/66491/22427/19053/14782/18983/69260/234366/22186/13716/21672/26992/20021/13000/234594/53325/75747/17535/23988/12649/53376/73699/11920/18854/235559/235610/78893/14381/270627/407786/245670/245688,244
R-MMU-72172,mRNA Splicing,170/5260,178/8828,3.6274601816628607e-29,4.801850415476212e-27,2.448535622622431e-27,20643/13211/51810/67418/66125/71713/67500/67332/66420/66094/67465/67178/78372/193116/59013/20020/192159/110809/67480/192160/20624/72047/20382/192170/21681/54451/20384/66354/51786/18789/67797/212880/77134/15387/238831/67285/72198/15381/54196/68705/22380/17749/67959/94230/69833/68479/20826/67197/74351/18521/15382/245841/20462/68092/75956/19826/20630/20383/68816/108121/76936/27756/69192/71702/98053/225027/20641/69241/74320/66810/27366/319322/20227/67710/269061/28000/83410/76479/76938/56194/229279/80744/98985/228410/11834/320632/20638/20639/66877/66642/67996/67337/68879/53317/94315/70767/107701/60365/68183/67225/69207/70052/17149/230596/22608/66101/56031/75062/66585/68598/68592/51796/14105/74326/13204/66899/231329/11991/54723/108014/76167/83701/231889/54188/76522/53379/66373/28035/330361/68011/23983/66618/57905/67678/98758/68988/22185/107686/232989/53607/15388/69920/233073/20637/20646/68981/74737/70233/233908/66491/67439/15568/70616/50783/27967/19656/78651/68219/20021/64340/66070/15481/67958/83486/209416/54633/68134/19655/108062/56258,170
R-MMU-72163,mRNA Splicing - Major Pathway,164/5260,172/8828,6.610243490730728e-28,7.778053174093156e-26,3.966146094438437e-26,20643/13211/51810/67418/66125/71713/67500/67332/66420/66094/67465/193116/59013/20020/192159/110809/67480/192160/20624/72047/20382/192170/21681/54451/20384/66354/51786/18789/212880/77134/15387/238831/67285/72198/15381/54196/68705/22380/17749/67959/94230/69833/68479/20826/74351/18521/15382/245841/20462/68092/75956/19826/20630/20383/68816/108121/76936/27756/69192/71702/98053/225027/20641/69241/74320/66810/27366/319322/20227/67710/269061/28000/83410/76479/76938/56194/229279/80744/98985/228410/11834/320632/20638/20639/66877/66642/67996/67337/68879/53317/94315/70767/107701/60365/68183/69207/70052/17149/230596/22608/66101/56031/75062/66585/68598/68592/51796/14105/74326/13204/66899/231329/11991/54723/108014/83701/231889/54188/76522/53379/66373/28035/330361/68011/23983/66618/57905/67678/98758/68988/22185/107686/232989/53607/15388/69920/233073/20637/20646/68981/74737/70233/233908/66491/67439/15568/70616/50783/27967/19656/78651/68219/20021/64340/66070/15481/67958/83486/209416/54633/68134/19655/108062/56258,164
R-MMU-69481,G2/M Checkpoints,156/5260,163/8828,3.6519688666128875e-27,3.867435029743048e-25,1.972063187970959e-25,17215/18393/22218/12021/70247/17219/26909/327762/12534/59004/93765/12566/15574/78294/103554/21975/22187/22059/19175/68275/22627/69077/237911/26446/22123/23834/19192/12189/19184/66997/22630/26443/19167/19179/19166/319185/319152/319186/319159/319160/319187/319153/319188/665596/100041230/319161/319184/319158/319183/69386/97908/319182/319157/319181/319180/319156/319179/68024/319155/319178/326620/326619/360198/319177/20184/268697/66413/67089/19173/19186/19188/19355/22631/29870/223970/70620/17217/12544/21762/106344/70238/19170/268930/58230/16912/16913/240087/225182/12532/19367/81601/70024/66998/19177/26428/59029/19182/27223/66634/228769/54401/26444/19172/19185/319190/97122/26442/27354/50793/18392/269582/26445/55948/27214/19181/26429/107976/22629/107823/70681/12545/50883/72151/231724/67151/22190/19718/22628/17220/69263/68240/17216/320332/23996/57296/15204/12144/22390/26440/23997/22427/22186/68251/17218/19171/17463/17535/12649/15270/11920/26441/12442/235559/235610/12530/210766,156
