seqnames,start,end,width,strand,V4,V5,V6,V7,V8,V9,V10,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,4807644,4807887,244,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_1,25,.,4.88147,6.40304,2.52368,144,Promoter (<=1kb),1,4807788,4848410,40623,1,18777,ENSMUST00000134384.7,0,ENSMUSG00000025903,Lypla1,lysophospholipase 1
chr1,6214574,6215031,458,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_2,35,.,5.7358,7.55446,3.52541,393,Promoter (<=1kb),1,6214645,6276648,62004,1,12421,ENSMUST00000027040.12,0,ENSMUSG00000025907,Rb1cc1,RB1-inducible coiled-coil 1
chr1,7088747,7088893,147,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_3,16,.,4.4543,5.30196,1.64345,69,Promoter (<=1kb),1,7088920,7173628,84709,1,319263,ENSMUST00000061280.16,-27,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,7088960,7089177,218,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_4,56,.,7.0173,9.98855,5.65212,115,Promoter (<=1kb),1,7089104,7160902,71799,1,319263,ENSMUST00000182306.1,0,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,7397825,7398210,386,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_5a,45,.,6.59013,8.75103,4.5367,113,"Exon (ENSMUST00000193732.1/ENSMUST00000193732.1, exon 1 of 5)",1,7160557,7172659,12103,1,319263,ENSMUST00000183204.1,237268,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,7397825,7398210,386,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_5b,22,.,4.7029,5.94877,2.24783,305,"Exon (ENSMUST00000193732.1/ENSMUST00000193732.1, exon 1 of 5)",1,7160557,7172659,12103,1,319263,ENSMUST00000183204.1,237268,ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
chr1,9545315,9545461,147,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_6,35,.,5.36997,7.45209,3.5008,80,Promoter (<=1kb),1,9545408,9547455,2048,1,59014,ENSMUST00000072079.8,0,ENSMUSG00000061024,Rrs1,ribosome biogenesis regulator 1
chr1,9700672,9700924,253,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_7,14,.,4.35266,4.98931,1.42129,68,Promoter (<=1kb),1,9667415,9700209,32795,2,17864,ENSMUST00000088658.10,-463,ENSMUSG00000025912,Mybl1,myeloblastosis oncogene-like 1
chr1,9748352,9748611,260,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_8,45,.,6.16297,8.75103,4.5367,188,Promoter (<=1kb),1,9718622,9748382,29761,2,70675,ENSMUST00000057438.6,0,ENSMUSG00000045210,Vcpip1,valosin containing protein (p97)/p47 complex interacting protein 1
chr1,9883103,9883387,285,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_9,50,.,5.47021,9.31879,5.05728,126,Promoter (<=1kb),1,9883467,9889077,5611,1,170755,ENSMUST00000191338.1,-80,ENSMUSG00000025915,Sgk3,serum/glucocorticoid regulated kinase 3
chr1,9943939,9944218,280,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_10,56,.,7.0173,9.98855,5.65212,185,Promoter (<=1kb),1,9941959,9944118,2160,2,73824,ENSMUST00000182580.7,0,ENSMUSG00000098234,Snhg6,small nucleolar RNA host gene 6
chr1,10232888,10233034,147,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_11,35,.,5.7358,7.55446,3.52541,98,Promoter (<=1kb),1,10173075,10232670,59596,2,211673,ENSMUST00000131556.1,-218,ENSMUSG00000067851,Arfgef1,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
chr1,13372504,13372661,158,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_12,30,.,5.05314,6.95301,3.01974,81,Promoter (<=1kb),1,13139105,13372439,233335,2,17978,ENSMUST00000081713.10,-65,ENSMUSG00000005886,Ncoa2,nuclear receptor coactivator 2
chr1,13372833,13373076,244,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_13,56,.,7.0173,9.98855,5.65212,179,Promoter (<=1kb),1,13139105,13372439,233335,2,17978,ENSMUST00000081713.10,-394,ENSMUSG00000005886,Ncoa2,nuclear receptor coactivator 2
chr1,13374239,13374435,197,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_14,35,.,5.7358,7.55446,3.52541,100,Promoter (<=1kb),1,13164501,13374083,209583,2,17978,ENSMUST00000147927.7,-156,ENSMUSG00000005886,Ncoa2,nuclear receptor coactivator 2
chr1,16177636,16178013,378,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_15,36,.,4.27778,7.66459,3.6347,192,Distal Intergenic,1,16130502,16132547,2046,1,98711,ENSMUST00000152626.1,47134,ENSMUSG00000025921,Rdh10,retinol dehydrogenase 10 (all-trans)
chr1,16656844,16657205,362,*,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_16,45,.,6.16297,8.75103,4.5367,120,Promoter (<=1kb),1,16641725,16656884,15160,2,67923,ENSMUST00000188641.6,0,ENSMUSG00000079658,Eloc,elongin C
