seqnames,start,end,width,strand,V4,V5,V6,V7,V8,V9,V10,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,16534280,16534522,243,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_1,20,.,3.9336700000000002,6.17367,2.07316,59,Distal Intergenic,1,16228816,16520112,291297,2,29819,ENSMUST00000162435.7,-14168,ENSMUSG00000025920,Stau2,staufen double-stranded RNA binding protein 2
chr1,16747260,16747445,186,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_2,150,.,9.77916,20.38925,15.0893,96,Distal Intergenic,1,16688508,16709537,21030,1,17087,ENSMUST00000190366.1,58752,ENSMUSG00000025779,Ly96,lymphocyte antigen 96
chr1,20740565,20740855,291,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_3,38,.,5.84363,8.16116,3.83171,216,Distal Intergenic,1,20730905,20734496,3592,1,16171,ENSMUST00000027061.4,9660,ENSMUSG00000025929,Il17a,interleukin 17A
chr1,20766676,20766875,200,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_4,213,.,12.52735,27.163,21.36032,102,Distal Intergenic,1,20777679,20779554,1876,2,257630,ENSMUST00000191111.1,12679,ENSMUSG00000041872,Il17f,interleukin 17F
chr1,21350174,21350411,238,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_5,144,.,9.96663,19.71408,14.42881,140,Promoter (<=1kb),1,21349641,21352200,2560,1,368204,ENSMUST00000088407.3,533,ENSMUSG00000067750,Khdc1a,KH domain containing 1A
chr1,21354364,21354572,209,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_6,192,.,12.1867,24.93798,19.24006,98,Promoter (4-5kb),1,21349641,21352200,2560,1,368204,ENSMUST00000088407.3,4723,ENSMUSG00000067750,Khdc1a,KH domain containing 1A
chr1,21368810,21369057,248,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_7,255,.,14.40678,31.83243,25.59202,142,Promoter (<=1kb),1,21368331,21370845,2515,1,433278,ENSMUST00000070223.5,479,ENSMUSG00000041722,Khdc1c,KH domain containing 1C
chr1,21372977,21373203,227,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_8,109,.,8.69801,15.99567,10.99327,134,Promoter (4-5kb),1,21368331,21370845,2515,1,433278,ENSMUST00000070223.5,4646,ENSMUSG00000041722,Khdc1c,KH domain containing 1C
chr1,21384141,21384332,192,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_9,121,.,9.33232,17.2144,12.14322,101,Promoter (<=1kb),1,21383556,21386373,2818,1,98582,ENSMUST00000147615.1,585,ENSMUSG00000085079,Khdc1b,KH domain containing 1B
chr1,24684082,24684284,203,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_10,56,.,5.16156,10.08017,5.64583,115,"Intron (ENSMUST00000191471.6/68421, intron 1 of 15)",1,24678926,24766301,87376,1,68421,ENSMUST00000095062.9,5156,ENSMUSG00000073725,Lmbrd1,LMBR1 domain containing 1
chr1,33942755,33942996,242,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_11,155,.,10.49439,20.81915,15.50907,119,"Intron (ENSMUST00000183034.4/13518, intron 2 of 102)",1,33908225,34307592,399368,1,13518,ENSMUST00000183034.4,34530,ENSMUSG00000026131,Dst,dystonin
chr1,36025114,36025260,147,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_12,38,.,5.84363,8.16116,3.83171,82,Distal Intergenic,1,36068400,36106446,38047,1,50785,ENSMUST00000088174.3,-43140,ENSMUSG00000045216,Hs6st1,heparan sulfate 6-O-sulfotransferase 1
chr1,36264297,36264456,160,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_13,62,.,6.73084,10.76437,6.25985,74,Downstream (<1kb),1,36264597,36273435,8839,2,214854,ENSMUST00000056946.7,8979,ENSMUSG00000047180,Neurl3,neuralized E3 ubiquitin protein ligase 3
chr1,36293574,36293730,157,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_14,109,.,8.69801,15.99567,10.99327,79,Distal Intergenic,1,36307733,36319203,11471,1,214855,ENSMUST00000126413.7,-14003,ENSMUSG00000037447,Arid5a,AT rich interactive domain 5A (MRF1-like)
chr1,36294559,36294709,151,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_15,66,.,6.18043,11.20838,6.68675,79,Distal Intergenic,1,36307733,36319203,11471,1,214855,ENSMUST00000126413.7,-13024,ENSMUSG00000037447,Arid5a,AT rich interactive domain 5A (MRF1-like)
chr1,36296666,36296894,229,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_16,109,.,8.69801,15.99567,10.99327,107,Distal Intergenic,1,36307733,36319203,11471,1,214855,ENSMUST00000126413.7,-10839,ENSMUSG00000037447,Arid5a,AT rich interactive domain 5A (MRF1-like)
chr1,37317795,37317971,177,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_17,57,.,5.94655,10.25134,5.76327,88,"Intron (ENSMUST00000146676.1/269180, intron 1 of 1)",1,37300308,37408733,108426,1,269180,ENSMUST00000136846.7,17487,ENSMUSG00000026113,Inpp4a,"inositol polyphosphate-4-phosphatase, type I"
chr1,37327389,37327601,213,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_18,180,.,11.5524,23.60585,18.04231,91,"Intron (ENSMUST00000146676.1/269180, intron 1 of 1)",1,37300308,37408733,108426,1,269180,ENSMUST00000136846.7,27081,ENSMUSG00000026113,Inpp4a,"inositol polyphosphate-4-phosphatase, type I"
chr1,37478547,37478720,174,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_19,109,.,9.01517,15.99567,10.99327,84,"Intron (ENSMUST00000042161.14/269181, intron 4 of 14)",1,37485851,37488605,2755,2,77633,ENSMUST00000192316.1,9885,ENSMUSG00000103948,4930594C11Rik,G1 to S phase transition pseudogene
chr1,37847340,37847497,158,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_20,88,.,7.74655,13.6258,8.81571,80,Promoter (3-4kb),1,37840062,37843721,3660,2,211484,ENSMUST00000134024.1,-3619,ENSMUSG00000060771,Tsga10,testis specific 10
chr1,38632534,38632680,147,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_21,25,.,4.54325,6.6833,2.54155,90,"Intron (ENSMUST00000039827.13/16764, intron 1 of 22)",1,38177326,38627201,449876,2,16764,ENSMUST00000238906.1,-5333,ENSMUSG00000037138,Aff3,"AF4/FMR2 family, member 3"
chr1,38662686,38662853,168,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_22,156,.,10.60093,20.99319,15.63456,84,Promoter (2-3kb),1,38177327,38664955,487629,2,16764,ENSMUST00000039827.13,2102,ENSMUSG00000037138,Aff3,"AF4/FMR2 family, member 3"
chr1,38777531,38777874,344,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_23,99,.,8.38086,14.79908,9.91869,179,Distal Intergenic,1,38794509,38821215,26707,2,381338,ENSMUST00000039612.4,43341,ENSMUSG00000048814,Lonrf2,LON peptidase N-terminal domain and ring finger 2
chr1,39842620,39842884,265,*,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE_peak_24,43,.,5.8304,8.68927,4.33805,151,Promoter (2-3kb),1,39839175,39845699,6525,2,73426,ENSMUST00000187091.6,2815,ENSMUSG00000101634,1700066B17Rik,RIKEN cDNA 1700066B17 gene
